CustomerID,NumDevice,NumAddr,NumCards
1001,2,2,6
1002,3,2,5
1003,3,1,4
1004,5,1,6
1005,4,1,3
1006,6,2,2
1007,2,2,3
1008,2,2,2
1009,3,2,0
1010,4,2,0
1011,2,2,0
1012,3,2,6
1013,2,0,0
1014,3,2,1
1015,3,2,1
1016,4,2,5
1017,3,3,1
1018,3,2,0
1019,4,3,0
1020,4,3,5
1021,4,2,3
1022,2,1,1
1023,2,2,0
1024,4,1,2
1025,4,1,2
1026,4,1,6
1027,4,1,2
1028,2,1,1
1029,4,1,4
1030,2,3,1
1031,2,0,0
1032,3,1,1
1033,5,1,5
1034,3,1,5
1035,2,0,5
1036,2,1,1
1037,4,2,5
1038,2,2,1
1039,1,3,3
1040,3,2,0
1041,4,3,4
1042,2,0,3
1043,2,1,2
1044,3,2,4
1045,2,4,2
1046,4,2,1
1047,6,1,1
1048,4,1,5
1049,4,1,2
1050,4,0,5
1051,4,1,5
1052,2,3,0
1053,3,3,1
1054,4,2,2
1055,2,1,1
1056,2,2,6
1057,4,1,3
1058,4,0,2
1059,3,1,1
1060,3,3,2
1061,4,2,2
1062,2,0,0
1063,3,1,4
1064,3,1,0
1065,4,1,4
1066,3,1,1
1067,4,2,2
1068,3,1,2
1069,1,1,4
1070,3,1,4
1071,3,3,2
1072,4,0,4
1073,2,1,1
1074,2,2,6
1075,2,0,3
1076,5,0,4
1077,2,3,1
1078,2,0,0
1079,2,3,6
1080,4,1,6
1081,2,1,1
1082,3,2,2
1083,2,1,1
1084,3,1,4
1085,4,2,6
1086,4,2,1
1087,3,2,0
1088,2,0,0
1089,4,1,4
1090,2,1,3
1091,5,1,4
1092,2,0,1
1093,3,2,4
1094,4,3,3
1095,4,0,4
1096,5,1,5
1097,2,0,1
1098,4,1,1
1099,3,2,3
1100,2,3,4
1101,2,2,1
1102,2,2,0
1103,3,1,1
1104,3,1,5
1105,2,3,1
1106,2,1,5
1107,2,1,3
1108,2,0,5
1109,2,1,5
1110,4,1,6
1111,3,3,0
1112,4,2,3
1113,3,0,1
1114,2,2,4
1115,2,0,0
1116,4,3,3
1117,2,2,1
1118,1,1,0
1119,2,3,6
1120,3,3,1
1121,5,2,5
1122,5,2,3
1123,1,3,3
1124,2,0,5
1125,2,2,1
1126,3,0,4
1127,2,1,2
1128,2,1,1
1129,5,1,1
1130,2,0,1
1131,2,1,1
1132,5,2,1
1133,3,2,2
1134,3,3,3
1135,5,1,5
1136,6,1,4
1137,2,1,1
1138,5,2,3
1139,3,2,0
1140,3,2,2
1141,2,3,0
1142,2,1,0
1143,4,2,1
1144,2,0,1
1145,2,0,4
1146,3,3,0
1147,2,2,2
1148,3,1,2
1149,4,0,2
1150,4,2,4
1151,2,2,2
1152,2,2,0
1153,2,2,1
1154,2,2,3
1155,4,1,2
1156,2,1,1
1157,2,1,2
1158,2,4,4
1159,4,2,3
1160,2,1,1
1161,4,2,5
1162,4,0,5
1163,4,2,2
1164,3,3,1
1165,2,0,1
1166,4,1,4
1167,2,2,0
1168,4,2,1
1169,1,2,4
1170,6,0,4
1171,4,3,2
1172,3,0,0
1173,3,2,1
1174,1,0,4
1175,1,1,0
1176,4,2,6
1177,3,3,0
1178,4,2,1
1179,2,1,0
1180,5,2,4
1181,4,0,2
1182,2,1,0
1183,4,1,2
1184,2,1,0
1185,3,2,4
1186,5,2,3
1187,4,2,2
1188,5,2,2
1189,2,0,0
1190,2,1,4
1191,1,0,5
1192,4,0,5
1193,2,2,1
1194,3,1,0
1195,3,2,1
1196,2,2,3
1197,3,2,3
1198,2,1,3
1199,3,2,0
1200,4,1,1
1201,2,3,2
1202,4,1,4
1203,2,0,4
1204,4,2,2
1205,6,1,2
1206,3,4,0
1207,3,0,0
1208,4,2,2
1209,2,1,5
1210,2,1,1
1211,5,2,2
1212,4,2,1
1213,2,1,1
1214,5,2,5
1215,2,1,2
1216,2,2,2
1217,2,1,0
1218,2,4,1
1219,4,0,2
1220,3,3,5
1221,2,1,4
1222,2,1,0
1223,3,2,3
1224,5,3,2
1225,2,2,4
1226,3,3,4
1227,2,1,1
1228,1,1,2
1229,2,1,1
1230,2,0,0
1231,4,2,5
1232,2,0,1
1233,4,3,2
1234,3,3,4
1235,3,1,1
1236,5,2,1
1237,3,1,2
1238,2,0,4
1239,5,2,5
1240,4,3,2
1241,2,2,1
1242,3,1,5
1243,2,1,4
1244,2,2,3
1245,1,3,6
1246,2,2,2
1247,2,0,0
1248,4,2,2
1249,4,1,1
1250,4,2,2
1251,3,1,0
1252,2,2,2
1253,4,2,2
1254,4,4,6
1255,4,1,4
1256,4,0,3
1257,5,0,2
1258,3,0,5
1259,4,2,5
1260,2,2,6
1261,4,2,2
1262,2,5,5
1263,2,1,3
1264,3,1,1
1265,2,2,2
1266,5,1,2
1267,2,1,0
1268,3,1,5
1269,2,3,1
1270,3,0,2
1271,4,1,2
1272,4,1,4
1273,3,0,1
1274,4,2,4
1275,2,3,2
1276,2,3,1
1277,6,3,3
1278,4,3,4
1279,2,2,1
1280,3,2,0
1281,4,0,2
1282,4,0,1
1283,2,1,1
1284,2,2,1
1285,2,1,1
1286,2,2,4
1287,5,2,4
1288,3,1,1
1289,4,2,1
1290,3,2,3
1291,3,1,1
1292,2,5,0
1293,5,2,5
1294,2,3,5
1295,2,2,5
1296,4,1,1
1297,2,3,4
1298,3,1,2
1299,3,2,2
1300,4,0,2
1301,2,2,4
1302,4,2,5
1303,4,2,1
1304,2,1,3
1305,2,1,2
1306,4,1,5
1307,2,0,3
1308,2,2,1
1309,3,2,4
1310,2,1,2
1311,4,2,4
1312,4,1,6
1313,2,2,6
1314,2,2,4
1315,2,2,0
1316,2,1,4
1317,4,4,2
1318,4,0,1
1319,2,2,1
1320,2,1,4
1321,1,1,3
1322,4,4,2
1323,3,1,1
1324,2,0,4
1325,2,0,0
1326,1,2,1
1327,4,1,1
1328,2,1,4
1329,2,2,4
1330,4,0,6
1331,4,2,2
1332,4,1,4
1333,1,3,5
1334,2,1,0
1335,2,2,2
1336,4,1,5
1337,5,3,2
1338,1,2,1
1339,4,2,2
1340,5,3,2
1341,4,2,2
1342,2,0,0
1343,2,0,0
1344,5,1,2
1345,3,1,1
1346,4,4,3
1347,3,1,4
1348,1,1,4
1349,3,3,1
1350,2,1,3
1351,5,0,2
1352,4,1,2
1353,3,2,4
1354,4,0,4
1355,2,1,2
1356,5,1,6
1357,3,2,3
1358,2,2,0
1359,4,2,1
1360,2,1,0
1361,2,4,4
1362,2,1,1
1363,2,2,1
1364,2,1,1
1365,2,1,0
1366,4,3,6
1367,2,2,1
1368,4,1,3
1369,2,2,1
1370,2,2,0
